@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
305,'2024/10/30 14:13:11:495',1,502,143,1
306,'2024/10/30 14:13:11:512',1,501,142,1
307,'2024/10/30 14:13:11:529',1,501,142,1
308,'2024/10/30 14:13:11:545',1,501,141,1
309,'2024/10/30 14:13:11:562',1,501,139,1
310,'2024/10/30 14:13:11:578',1,501,138,1
311,'2024/10/30 14:13:11:595',1,501,137,1
312,'2024/10/30 14:13:11:612',1,501,136,1
313,'2024/10/30 14:13:11:629',1,501,135,1
314,'2024/10/30 14:13:11:645',1,501,134,1
315,'2024/10/30 14:13:11:661',1,501,133,1
316,'2024/10/30 14:13:11:678',1,498,129,1
317,'2024/10/30 14:13:11:695',1,496,128,1
318,'2024/10/30 14:13:11:711',1,493,126,1
319,'2024/10/30 14:13:11:728',1,490,126,1
320,'2024/10/30 14:13:11:745',1,488,126,1
321,'2024/10/30 14:13:11:761',1,485,126,1
322,'2024/10/30 14:13:11:778',1,479,124,1
323,'2024/10/30 14:13:11:796',1,476,123,1
324,'2024/10/30 14:13:11:811',1,469,121,1
325,'2024/10/30 14:13:11:829',1,465,120,1
326,'2024/10/30 14:13:11:845',1,464,120,1
327,'2024/10/30 14:13:11:862',1,463,120,1
328,'2024/10/30 14:13:11:878',1,462,120,1
329,'2024/10/30 14:13:11:895',1,462,120,1
330,'2024/10/30 14:13:11:911',1,462,120,1
331,'2024/10/30 14:13:11:928',1,458,119,1
332,'2024/10/30 14:13:11:945',1,455,118,1
333,'2024/10/30 14:13:11:961',1,451,118,1
334,'2024/10/30 14:13:11:979',1,448,119,1
335,'2024/10/30 14:13:11:994',1,440,121,1
336,'2024/10/30 14:13:12:011',1,438,121,1
337,'2024/10/30 14:13:12:029',1,429,122,1
338,'2024/10/30 14:13:12:045',1,425,123,1
339,'2024/10/30 14:13:12:061',1,421,124,1
340,'2024/10/30 14:13:12:078',1,420,124,1
341,'2024/10/30 14:13:12:094',1,418,126,1
342,'2024/10/30 14:13:12:112',1,418,127,1
343,'2024/10/30 14:13:12:128',1,417,130,1
344,'2024/10/30 14:13:12:145',1,417,131,1
345,'2024/10/30 14:13:12:161',1,415,135,1
346,'2024/10/30 14:13:12:178',1,415,136,1
347,'2024/10/30 14:13:12:195',1,414,142,1
348,'2024/10/30 14:13:12:212',1,414,148,1
349,'2024/10/30 14:13:12:228',1,414,160,1
350,'2024/10/30 14:13:12:245',1,414,167,1
351,'2024/10/30 14:13:12:261',1,414,175,1
352,'2024/10/30 14:13:12:278',1,414,176,1
353,'2024/10/30 14:13:12:295',1,415,181,1
354,'2024/10/30 14:13:12:311',1,416,183,1
355,'2024/10/30 14:13:12:328',1,416,188,1
356,'2024/10/30 14:13:12:344',1,417,192,1
357,'2024/10/30 14:13:12:361',1,417,195,1
358,'2024/10/30 14:13:12:378',1,418,200,1
359,'2024/10/30 14:13:12:395',1,418,200,1
360,'2024/10/30 14:13:12:412',1,418,202,1
361,'2024/10/30 14:13:12:428',1,419,203,1
362,'2024/10/30 14:13:12:445',1,419,204,1
363,'2024/10/30 14:13:12:462',1,419,205,1
364,'2024/10/30 14:13:12:478',1,420,209,1
365,'2024/10/30 14:13:12:496',1,420,211,1
366,'2024/10/30 14:13:12:512',1,420,214,1
367,'2024/10/30 14:13:12:528',1,421,215,1
368,'2024/10/30 14:13:12:546',1,421,218,1
369,'2024/10/30 14:13:12:562',1,421,219,1
370,'2024/10/30 14:13:12:578',1,422,222,1
371,'2024/10/30 14:13:12:595',1,422,224,1
372,'2024/10/30 14:13:12:611',1,422,227,1
373,'2024/10/30 14:13:12:629',1,422,228,1
374,'2024/10/30 14:13:12:646',1,423,235,1
375,'2024/10/30 14:13:12:661',1,423,236,1
376,'2024/10/30 14:13:12:678',1,425,245,1
377,'2024/10/30 14:13:12:695',1,425,250,1
378,'2024/10/30 14:13:12:711',1,427,260,1
379,'2024/10/30 14:13:12:728',1,429,264,1
380,'2024/10/30 14:13:12:745',1,429,267,1
381,'2024/10/30 14:13:12:762',1,431,274,1
382,'2024/10/30 14:13:12:779',1,431,274,1
383,'2024/10/30 14:13:12:795',1,431,277,1
384,'2024/10/30 14:13:12:812',1,431,278,1
385,'2024/10/30 14:13:12:828',1,431,280,1
386,'2024/10/30 14:13:12:845',1,431,283,1
387,'2024/10/30 14:13:12:862',1,430,287,1
388,'2024/10/30 14:13:12:879',1,430,289,1
389,'2024/10/30 14:13:12:894',1,430,291,1
390,'2024/10/30 14:13:12:913',1,430,293,1
391,'2024/10/30 14:13:12:928',1,430,297,1
392,'2024/10/30 14:13:12:945',1,430,298,1
393,'2024/10/30 14:13:12:962',1,430,308,1
394,'2024/10/30 14:13:12:979',1,430,309,1
395,'2024/10/30 14:13:12:994',1,431,314,1
396,'2024/10/30 14:13:13:012',1,431,316,1
397,'2024/10/30 14:13:13:028',1,431,320,1
398,'2024/10/30 14:13:13:045',1,431,320,1
399,'2024/10/30 14:13:13:062',1,432,326,1
400,'2024/10/30 14:13:13:079',1,432,328,1
401,'2024/10/30 14:13:13:095',1,432,331,1
402,'2024/10/30 14:13:13:112',1,433,333,1
403,'2024/10/30 14:13:13:128',1,433,335,1
404,'2024/10/30 14:13:13:145',1,433,336,1
405,'2024/10/30 14:13:13:161',1,433,338,1
406,'2024/10/30 14:13:13:179',1,433,339,1
407,'2024/10/30 14:13:13:196',1,433,343,1
408,'2024/10/30 14:13:13:211',1,433,347,1
409,'2024/10/30 14:13:13:228',1,433,350,1
410,'2024/10/30 14:13:13:245',1,433,360,1
411,'2024/10/30 14:13:13:261',1,433,366,1
412,'2024/10/30 14:13:13:278',1,434,369,1
413,'2024/10/30 14:13:13:295',1,434,369,1
414,'2024/10/30 14:13:13:312',1,435,371,1
415,'2024/10/30 14:13:13:328',1,436,372,1
